# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
ying she 	映射	c=2 d=0.021068 t=16526
ying wen 	英文	c=6 d=0.0792617 t=16526
ying wen ge 	英文歌	c=1 d=0.000728153 t=16526
ying wo 	硬卧	c=1 d=0.40657 t=16526
ying xiang 	影响	c=5 d=0.481909 t=16526
ying xiang li 	影响力	c=2 d=0.000926025 t=16526
ying ye e 	营业额	c=1 d=0.0010333 t=16526
ying yong 	应用	c=5 d=0.110032 t=16526
ying yu 	英语	c=1 d=2.17695e-05 t=16526
yo 	哟	c=0 d=1.63315e-07 t=16526
yo gang dao 	哟刚到	c=1 d=1.64134e-06 t=16526
yong 	用	c=107 d=5.60166 t=16526
yong ai 	用爱	c=1 d=0.0141931 t=16526
yong bu 	永不	c=1 d=0.927743 t=16526
yong bu dao 	用不到	c=1 d=7.56041e-05 t=16526
yong bu le 	永不了	c=3 d=0.752014 t=16526
yong dao 	用到	c=2 d=0.100761 t=16526
yong de 	用的	c=1 d=0.0457336 t=16526
yong de ren 	用的人	c=1 d=0.382893 t=16526
yong fa 	用法	c=1 d=8.9413e-08 t=16526
yong guo 	用过	c=3 d=0.532592 t=16526
yong hu 	用户	c=28 d=1.62746 t=16526
yong lai 	用来	c=4 d=0.22313 t=16526
yong le 	用了	c=1 d=0.235746 t=16526
yong ren 	用人	c=0 d=0.0579842 t=16526
yong sha 	用啥	c=1 d=0.0731678 t=16526
yong shang 	用上	c=1 d=8.87222e-05 t=16526
yong wan 	用完	c=1 d=0.0437178 t=16526
yong yuan 	永远	c=1 d=0.280832 t=16526
yong zhe ge 	用这个	c=1 d=0.301194 t=16526
you 	又	c=29 d=1.87079 t=16526
you 	右	c=1 d=0.000287295 t=16526
you 	有	c=100 d=2.56449 t=16526
you 	由	c=1 d=5.39704e-10 t=16526
you a 	有啊	c=2 d=1.08731 t=16526
you bi yao 	有必要	c=1 d=6.41479e-13 t=16526
you bu shi 	又不是	c=2 d=0.0125881 t=16526
you cai 	又菜	c=1 d=0.0280154 t=16526
you cai 	有财	c=1 d=0.00042433 t=16526
you cai wu 	有财务	c=1 d=0.000247277 t=16526
you che 	有车	c=1 d=0.172045 t=16526
you chou 	又丑	c=1 d=0.479505 t=16526
you dian 	有点	c=13 d=0.997779 t=16526
you dian di 	有点低	c=1 d=0.0014018 t=16526
you dian man 	有点慢	c=2 d=0.000750328 t=16526
you ge 	有个	c=2 d=0.444858 t=16526
you ge xing 	有个性	c=1 d=0.00843808 t=16526
you guan 	油管	c=3 d=0.501757 t=16526
you he zuo 	有合作	c=1 d=0.219808 t=16526
you hen duo 	有很多	c=1 d=0.0248475 t=16526
you hou 	油猴	c=20 d=0.6252 t=16526
you hua 	优化	c=22 d=1.3257 t=16526
you hui 	优惠	c=2 d=2.76449e-08 t=16526
you jian 	右键	c=2 d=0.22091 t=16526
you jian 	邮件	c=3 d=0.305113 t=16526
you jing yan 	有经验	c=1 d=0.00582847 t=16526
you ke neng 	有可能	c=2 d=0.0788617 t=16526
you kong 	有空	c=1 d=0.40657 t=16526
you lan 	又懒	c=1 d=0.442639 t=16526
you le 	有了	c=5 d=0.249075 t=16526
you le ma 	有了吗	c=1 d=0.0608101 t=16526
you ma 	有吗	c=1 d=0.119433 t=16526
you ma 	邮码	c=1 d=0.118837 t=16526
you man 	又慢	c=1 d=2.24906e-06 t=16526
you mei you 	有没有	c=3 d=0.109543 t=16526
you nin 	有您	c=1 d=2.54851e-06 t=16526
you pang 	又胖	c=1 d=0.440432 t=16526
you qian 	有钱	c=1 d=0.574072 t=16526
you qian zhuan 	有钱赚	c=1 d=0.153355 t=16526
you qun 	有群	c=1 d=0.00729913 t=16526
you ren 	有人	c=2 d=0.151829 t=16526
you san 	有伞	c=1 d=0.0015648 t=16526
you sha 	有啥	c=10 d=0.290232 t=16526
you sha yong 	有啥用	c=2 d=0.30578 t=16526
you shen me 	有什么	c=2 d=0.00951391 t=16526
you shi 	又是	c=1 d=1.93111e-07 t=16526
you shi 	有事	c=2 d=0.0114473 t=16526
you shi hou 	有时候	c=2 d=0.430933 t=16526
you shi jian 	有时间	c=4 d=0.541237 t=16526
you wen ti 	有问题	c=14 d=0.177284 t=16526
you xi 	游戏	c=3 d=0.822835 t=16526
you xian 	优先	c=2 d=0.00293808 t=16526
you xian ji 	优先级	c=1 d=1.11128e-06 t=16526
you xiang 	又想	c=1 d=0.162838 t=16526
you xiao qi 	有效期	c=2 d=0.821303 t=16526
you xie 	有些	c=5 d=0.0018363 t=16526
you xie ren 	有些人	c=1 d=0.00504176 t=16526
you xu yao 	有需要	c=1 d=0.00289433 t=16526
you yao qiu 	有要求	c=1 d=1.27519e-07 t=16526
you yi ge 	有一个	c=2 d=0.173774 t=16526
you yong 	有用	c=2 d=0.00226108 t=16526
you yong 	游泳	c=1 d=6.89303e-06 t=16526
you you 	又有	c=1 d=0.000518277 t=16526
you zhe 	有这	c=1 d=0.000177774 t=16526
you zhe ge 	有这个	c=2 d=0.0190671 t=16526
you zu 	游族	c=2 d=0.990768 t=16526
yu 	与	c=4 d=0.529935 t=16526
yu 	于	c=2 d=0.0322254 t=16526
yu 	宇	c=1 d=0.0346456 t=16526
yu 	鱼	c=2 d=0.00546167 t=16526
yu dao 	遇到	c=1 d=1.32471e-14 t=16526
yu e 	余额	c=3 d=0.0108726 t=16526
yu fa 	语法	c=1 d=2.99173e-10 t=16526
yu ji 	预计	c=1 d=0.287941 t=16526
yu jing 	预警	c=1 d=0.535261 t=16526
yu lan 	预览	c=7 d=0.00778933 t=16526
yu lan shi 	预览时	c=1 d=6.09778e-05 t=16526
yu ming 	域名	c=8 d=0.0760305 t=16526
yu ni 	与你	c=0 d=4.04817e-10 t=16526
yu ni xing 	与你性	c=1 d=4.06847e-09 t=16526
yu su 	语速	c=1 d=3.09935e-14 t=16526
yu suan 	预算	c=2 d=2.05488e-08 t=16526
yu yan 	语言	c=13 d=9.39556e-05 t=16526
yu yi 	语意	c=1 d=1.32381e-06 t=16526
yu yin 	语音	c=2 d=3.82753e-14 t=16526
yu yue 	预约	c=8 d=0.424508 t=16526
yu yue dan 	预约单	c=1 d=0.0555762 t=16526
yu yue dan hao 	预约单号	c=2 d=0.000617027 t=16526
yu yue le 	预约了	c=1 d=0.396531 t=16526
yuan 	元	c=2 d=0.00144449 t=16526
yuan 	原	c=4 d=0.921167 t=16526
yuan 	员	c=1 d=0.0122773 t=16526
yuan 	源	c=5 d=0.511709 t=16526
yuan 	院	c=1 d=3.86873e-05 t=16526
yuan cheng 	远程	c=7 d=0.348192 t=16526
yuan de 	圆的	c=1 d=1.07602e-09 t=16526
yuan dian 	远点	c=1 d=0.806541 t=16526
yuan jiao 	圆角	c=1 d=1.25924e-06 t=16526
yuan lai 	原来	c=6 d=1.04932 t=16526
yuan li 	原理	c=1 d=2.40631e-07 t=16526
yuan ma 	源码	c=6 d=0.315058 t=16526
yuan sheng 	原生	c=0 d=0.0843665 t=16526
yuan sheng zhi chi 	原生支持	c=1 d=0.847894 t=16526
yuan su 	元素	c=1 d=0.0133665 t=16526
yuan wen 	原文	c=4 d=5.24114e-05 t=16526
yuan yi 	愿意	c=1 d=0.00021605 t=16526
yuan yin 	原因	c=3 d=0.946485 t=16526
yue 	月	c=7 d=0.949517 t=16526
yue 	玥	c=0 d=0.0226502 t=16526
yue 	约	c=1 d=5.86168e-11 t=16526
yue 	越	c=5 d=0.477114 t=16526
yue du 	阅读	c=2 d=0.132655 t=16526
yue lai 	越来	c=1 d=0.474734 t=16526
yue lai yue 	越来越	c=0 d=0.0197899 t=16526
yue lai yue gui 	越来越贵	c=1 d=0.198891 t=16526
yue ru 	月入	c=1 d=0.00271219 t=16526
yue shi 	越是	c=1 d=3.44845e-05 t=16526
yue xiang 	越想	c=1 d=0.0742736 t=16526
yun 	云	c=9 d=1.76436 t=16526
yun da 	韵达	c=1 d=0.0590129 t=16526
yun dong 	运动	c=2 d=0.446971 t=16526
yun duan 	云端	c=1 d=0.00878245 t=16526
yun han shu 	云函数	c=2 d=0.22817 t=16526
yun kai fa 	云开发	c=1 d=0.0138427 t=16526
yun pan 	云盘	c=2 d=0.000374722 t=16526
yun wei 	运维	c=5 d=0.254107 t=16526
yun xing 	运行	c=12 d=0.511709 t=16526
yun xu 	允许	c=3 d=1.38116e-05 t=16526
yun ying 	运营	c=3 d=0.285352 t=16526
yun ying shang 	运营商	c=1 d=0.126186 t=16526
za 	咋	c=13 d=1.03578 t=16526
za 	杂	c=1 d=0.0590129 t=16526
za ban 	咋办	c=3 d=0.0319048 t=16526
za hui qu 	咋回去	c=1 d=0.000376347 t=16526
za le 	咋了	c=10 d=1.002 t=16526
za le 	砸了	c=1 d=0.156453 t=16526
za lian 	咋连	c=1 d=4.31857e-05 t=16526
za mai 	咋卖	c=1 d=0.0395575 t=16526
za mei 	咋没	c=1 d=0.0100017 t=16526
za nong 	咋弄	c=1 d=1.62949e-09 t=16526
za pai 	杂牌	c=1 d=9.30462e-06 t=16526
za shuo 	杂说	c=0 d=0.0650509 t=16526
za yang 	咋样	c=7 d=0.597501 t=16526
za yong 	杂用	c=2 d=0.49006 t=16526
za zhao 	咋找	c=1 d=0.00506703 t=16526
zai 	再	c=61 d=1.48716 t=16526
zai 	在	c=49 d=0.76361 t=16526
zai chi 	再吃	c=0 d=0.0085435 t=16526
zai chi dian 	再吃点	c=1 d=0.0858632 t=16526
zai ci 	再次	c=1 d=0.0383884 t=16526
zai jia 	再加	c=4 d=0.472371 t=16526
zai jie 	再接	c=1 d=3.61651e-06 t=16526
zai kan 	再看	c=2 d=0.216536 t=16526
zai lai 	再来	c=1 d=2.90983e-07 t=16526
zai mai 	再买	c=1 d=0.453845 t=16526
zai mang 	再忙	c=1 d=0.000626727 t=16526
zai na 	在哪	c=6 d=0.486195 t=16526
zai na ge 	在哪个	c=1 d=0.0216013 t=16526
zai pao 	在跑	c=3 d=9.57091e-05 t=16526
zai qu 	再去	c=1 d=0.603506 t=16526
zai shang 	在上	c=1 d=0.131336 t=16526
zai shi shi 	再试试	c=1 d=0.00125578 t=16526
zai shui 	在睡	c=1 d=0.83527 t=16526
zai wo men 	在我们	c=1 d=3.53816e-13 t=16526
zai xian 	在线	c=7 d=0.639649 t=16526
zai ye 	再也	c=1 d=0.0724398 t=16526
zai yi ge 	在一个	c=1 d=0.000209665 t=16526
zai yong 	再用	c=1 d=1.22286e-14 t=16526
zai zhe 	在这	c=1 d=5.96567e-12 t=16526
zan 	暂	c=1 d=2.747e-06 t=16526
zan man 	攒满	c=1 d=0.000804733 t=16526
zan men 	咱们	c=16 d=0.667166 t=16526
zan shi 	暂时	c=2 d=0.228779 t=16526
zang hua 	脏话	c=1 d=3.09776e-08 t=16526
zao 	早	c=8 d=1.30806 t=16526
zao 	造	c=1 d=6.72742e-14 t=16526
zao bo 	早播	c=1 d=0.00319873 t=16526
zao ci 	造词	c=2 d=0.351692 t=16526
zao dian 	早点	c=1 d=0.000162473 t=16526
zao dian shui 	早点睡	c=1 d=0.000167421 t=16526
zao ding a 	早顶啊	c=1 d=3.08977e-07 t=16526
zao fan 	早饭	c=1 d=0.276651 t=16526
zao jiu 	早就	c=3 d=0.744488 t=16526
zao qi 	早期	c=1 d=1.52378e-14 t=16526
zao qi 	早起	c=1 d=0.272532 t=16526
zao shang 	早上	c=4 d=0.67032 t=16526
zao xing 	造型	c=1 d=0.582748 t=16526
ze 	则	c=0 d=2.56879e-12 t=16526
ze ne mao 	则呢帽	c=1 d=2.58167e-11 t=16526
zen me 	怎么	c=51 d=3.83418 t=16526
zen yang 	怎样	c=1 d=6.625e-10 t=16526
zeng 	增	c=1 d=0.151072 t=16526
zeng jia 	增加	c=1 d=0.280832 t=16526
zha 	炸	c=1 d=3.30524e-06 t=16526
zha mao 	炸毛	c=1 d=0.358796 t=16526
zha nan 	渣男	c=3 d=1.17427 t=16526
zha pai gu 	炸排骨	c=1 d=0.0196437 t=16526
zhan 	占	c=1 d=1.19824e-10 t=16526
zhan 	栈	c=1 d=1.71362e-13 t=16526
zhan 	站	c=19 d=1.11423 t=16526
zhan dao 	站到	c=1 d=2.32315e-05 t=16526
zhan dian 	站点	c=1 d=8.87978e-15 t=16526
zhan kai 	展开	c=1 d=0.701173 t=16526
zhan lang 	战狼	c=1 d=0.740818 t=16526
zhan shi 	展示	c=2 d=0.0547488 t=16526
zhan tie 	粘贴	c=4 d=0.808682 t=16526
zhan tie ban 	粘贴板	c=1 d=1.49259e-06 t=16526
zhan yong 	占用	c=1 d=2.59505e-13 t=16526
zhan zhang 	站长	c=1 d=0.0231676 t=16526
zhan zhe 	站着	c=1 d=2.30004e-05 t=16526
zhang 	张	c=2 d=0.0418952 t=16526
zhang 	涨	c=2 d=0.0018363 t=16526
zhang 	长	c=2 d=0.537944 t=16526
zhang bao 	张宝	c=0 d=9.42085e-06 t=16526
zhang bao dong 	张堡栋	c=1 d=0.00410726 t=16526
zhang bao dong 	张宝栋	c=1 d=9.46807e-05 t=16526
zhang dan 	账单	c=23 d=0.127227 t=16526
zhang dan hao 	账单号	c=1 d=0.000350903 t=16526
zhang hao 	帐号	c=8 d=0.604562 t=16526
zhang hu 	账户	c=2 d=0.0513366 t=16526
zhang xiang 	长相	c=1 d=4.57534e-08 t=16526
zhang xiao long 	张小龙	c=2 d=1.67156 t=16526
zhang xin 	涨薪	c=1 d=5.27472e-05 t=16526
zhang yu 	章鱼	c=1 d=0.0385808 t=16526
zhao 	找	c=14 d=0.843707 t=16526
zhao 	招	c=1 d=0.218712 t=16526
zhao 	照	c=1 d=0.00267181 t=16526
zhao dao 	找到	c=4 d=0.320296 t=16526
zhao di fang 	找地方	c=1 d=0.174645 t=16526
zhao dian 	找点	c=1 d=0.276651 t=16526
zhao ge 	找个	c=4 d=0.822835 t=16526
zhao guo lai 	找过来	c=1 d=0.217621 t=16526
zhao hu 	招呼	c=1 d=0.000312783 t=16526
zhao ni 	找你	c=2 d=9.42085e-05 t=16526
zhao ni men 	找你们	c=1 d=0.00022263 t=16526
zhao pian 	照片	c=3 d=0.932394 t=16526
zhao pian ma 	照片吗	c=1 d=6.67317e-07 t=16526
zhao piao 	招嫖	c=1 d=0.927743 t=16526
zhao ta 	找他	c=2 d=0.479616 t=16526
zhao wo 	找我	c=2 d=0.178173 t=16526
zhao yun 	赵云	c=0 d=0.000535353 t=16526
zhao yun ping 	赵云平	c=1 d=0.00538036 t=16526
zhao zhao 	找找	c=1 d=0.0185742 t=16526
zhe 	折	c=2 d=0.116521 t=16526
zhe 	着	c=7 d=0.384831 t=16526
zhe 	者	c=8 d=0.877245 t=16526
zhe 	这	c=29 d=0.904837 t=16526
zhe bian 	这边	c=6 d=0.494109 t=16526
zhe biao 	这标	c=1 d=0.0916297 t=16526
zhe bu shi 	这不是	c=2 d=0.250324 t=16526
zhe cai 	这才	c=1 d=0.00670434 t=16526
zhe ci 	这次	c=3 d=0.00330351 t=16526
zhe dian 	这点	c=0 d=0.0511709 t=16526
zhe die 	折叠	c=7 d=4.67822 t=16526
zhe dong xi 	这东西	c=1 d=0.00229965 t=16526
zhe fang mian 	这方面	c=1 d=2.14046e-12 t=16526
zhe ge 	这个	c=156 d=3.44697 t=16526
zhe ge shi 	这个事	c=1 d=4.51735e-05 t=16526
zhe ge tu pian 	这个图片	c=1 d=0.102284 t=16526
zhe hai 	这还	c=1 d=0.00559994 t=16526
zhe ji ge 	这几个	c=1 d=3.8594e-06 t=16526
zhe ji tian 	这几天	c=1 d=0.00115345 t=16526
zhe jia 	这家	c=1 d=0.232236 t=16526
zhe jiu 	这就	c=1 d=0.142274 t=16526
zhe jiu shi 	这就是	c=1 d=0.00472447 t=16526
zhe kuai 	这块	c=12 d=0.214755 t=16526
zhe li 	这里	c=4 d=0.00493208 t=16526
zhe li mian 	这里面	c=2 d=0.0161635 t=16526
zhe lia 	这俩	c=3 d=0.618783 t=16526
zhe liang ge 	这两个	c=4 d=0.923116 t=16526
zhe liang tian 	这两天	c=1 d=1.32746e-09 t=16526
zhe me 	这么	c=34 d=1.60526 t=16526
zhe mo ren 	折磨人	c=1 d=0.153355 t=16526
zhe pian 	这篇	c=1 d=0.000127806 t=16526
zhe qun 	这群	c=0 d=0.00207543 t=16526
zhe qun li 	这群里	c=1 d=0.0208584 t=16526
zhe san ge 	这三个	c=1 d=0.0804596 t=16526
zhe shi 	这是	c=9 d=0.926529 t=16526
zhe teng 	折腾	c=2 d=0.00191125 t=16526
zhe xia 	这下	c=2 d=0.737602 t=16526
zhe xie 	这些	c=13 d=0.703652 t=16526
zhe xie dong xi 	这些东西	c=1 d=0.183599 t=16526
zhe yang 	这样	c=18 d=0.862441 t=16526
zhe yi ge 	这一个	c=1 d=0.19205 t=16526
zhe zheng ming 	这证明	c=1 d=0.304221 t=16526
zhe zhong 	这种	c=11 d=0.980151 t=16526
zhe zhou 	这周	c=2 d=0.40657 t=16526
zhen 	真	c=4 d=0.900847 t=16526
zhen de 	真的	c=4 d=0.677077 t=16526
zhen duo 	真多	c=2 d=0.000278804 t=16526
zhen hao 	真好	c=2 d=0.138761 t=16526
zhen jia 	真假	c=1 d=0.909373 t=16526
zhen kuai 	真快	c=1 d=0.00995182 t=16526
zhen luan 	真乱	c=1 d=2.88039e-05 t=16526
zhen neng 	真能	c=0 d=1.82274e-05 t=16526
zhen neng ao 	真能熬	c=1 d=0.000183188 t=16526
zhen shi 	真实	c=2 d=0.509799 t=16526
zhen shuang 	真爽	c=1 d=0.00369786 t=16526
zhen xiang 	真香	c=1 d=0.00472447 t=16526
zhen zhun 	真准	c=1 d=0.102284 t=16526
zhen zhun shi 	真准时	c=1 d=0.054204 t=16526
zheng 	整	c=5 d=0.0495388 t=16526
zheng 	证	c=2 d=1.17143 t=16526
zheng chang 	正常	c=13 d=0.869358 t=16526
zheng chang ren 	正常人	c=1 d=3.17564e-06 t=16526
zheng chang ye mian 	正常页面	c=1 d=0.524663 t=16526
zheng dian 	整点	c=1 d=3.30524e-06 t=16526
zheng dun 	整顿	c=1 d=0.0617291 t=16526
zheng fa 	蒸发	c=2 d=8.13923e-12 t=16526
zheng ge 	整个	c=4 d=0.0457305 t=16526
zheng gui 	正规	c=1 d=0.00329615 t=16526
zheng hao 	正好	c=7 d=0.272186 t=16526
zheng hui 	整会	c=1 d=0.000125903 t=16526
zheng huo 	整活	c=1 d=0.00027603 t=16526
zheng ju 	证据	c=1 d=0.000116806 t=16526
zheng le 	整了	c=1 d=0.425283 t=16526
zheng li 	整理	c=1 d=0.418952 t=16526
zheng ming 	证明	c=1 d=0.371933 t=16526
zheng qian 	挣钱	c=0 d=0.000186406 t=16526
zheng qu 	争取	c=1 d=0.0862936 t=16526
zheng shi 	正事	c=1 d=0.00609675 t=16526
zheng shi 	正式	c=4 d=0.0523164 t=16526
zheng shu 	证书	c=1 d=0.000102566 t=16526
zheng ti 	整体	c=1 d=2.96963e-11 t=16526
zheng yi ge 	整一个	c=1 d=0.000485661 t=16526
zheng yong 	征用	c=0 d=0.0612626 t=16526
zheng yong le 	征用了	c=1 d=0.615697 t=16526
zheng zai 	正在	c=2 d=1.74822e-05 t=16526
zheng ze 	正则	c=10 d=2.55435 t=16526
zheng zheng 	整整	c=1 d=0.00215492 t=16526
zheng zhou xi 	郑州西	c=1 d=0.207008 t=16526
zheng zu 	整租	c=2 d=6.00154e-07 t=16526
zhi 	值	c=8 d=0.640856 t=16526
zhi 	只	c=12 d=0.678025 t=16526
zhi 	指	c=1 d=0.000898306 t=16526
zhi 	智	c=1 d=7.24644e-06 t=16526
zhi 	直	c=3 d=0.55889 t=16526
zhi 	置	c=1 d=5.23575e-06 t=16526
zhi 	职	c=0 d=8.39886e-08 t=16526
zhi bo 	直播	c=13 d=0.282466 t=16526
zhi bu ding 	指不定	c=1 d=3.39827e-09 t=16526
zhi chang 	职场	c=1 d=0.0623495 t=16526
zhi chi 	支持	c=7 d=0.938164 t=16526
zhi dao 	知道	c=12 d=0.724283 t=16526
zhi dao le 	知道了	c=1 d=0.00148848 t=16526
zhi de 	指的	c=1 d=4.5643e-09 t=16526
zhi dian 	指点	c=1 d=1.66671e-10 t=16526
zhi ding 	制定	c=1 d=0.0250972 t=16526
zhi fu 	之父	c=2 d=0.210278 t=16526
zhi fu bao 	支付宝	c=1 d=0.0658748 t=16526
zhi gei 	只给	c=1 d=0.0066709 t=16526
zhi gei ni 	值给你	c=1 d=0.000889368 t=16526
zhi guan 	只管	c=1 d=0.00247875 t=16526
zhi hou 	之后	c=4 d=0.918521 t=16526
zhi hu 	知乎	c=4 d=1.64315e-05 t=16526
zhi hui 	只会	c=1 d=0.00022263 t=16526
zhi hui 	智慧	c=1 d=0.0518189 t=16526
zhi jie 	直接	c=53 d=1.058 t=16526
zhi jing 	直径	c=1 d=0.00647375 t=16526
zhi ju jiao 	只聚焦	c=1 d=2.07649e-08 t=16526
zhi lei 	之类	c=6 d=0.510639 t=16526
zhi lian 	之恋	c=1 d=0.267135 t=16526
zhi lian 	直连	c=2 d=0.26982 t=16526
zhi liang 	质量	c=1 d=0.00848038 t=16526
zhi liao 	治疗	c=1 d=0.268474 t=16526
zhi ling 	指令	c=1 d=2.89532e-07 t=16526
zhi nan 	指南	c=1 d=9.75808e-07 t=16526
zhi neng 	只能	c=14 d=0.91723 t=16526
zhi neng 	智能	c=1 d=8.0487e-06 t=16526
zhi niu er 	执牛耳	c=0 d=1.92181e-10 t=16526
zhi niu er gen 	执牛耳跟	c=1 d=1.93144e-09 t=16526
zhi qian 	之前	c=39 d=1.36069 t=16526
zhi qian ye you 	之前也有	c=1 d=1.6998e-06 t=16526
zhi qin 	执勤	c=0 d=8.05007e-09 t=16526
zhi qin a 	执勤啊	c=1 d=8.09042e-08 t=16526
zhi ru 	植入	c=1 d=0.373439 t=16526
zhi shi 	只是	c=17 d=1.52868 t=16526
zhi shi 	知识	c=2 d=0.0465649 t=16526
zhi shi yong 	只使用	c=1 d=0.000133021 t=16526
zhi wei 	职位	c=1 d=5.49279e-11 t=16526
zhi xing 	执行	c=20 d=1.49421 t=16526
zhi xu yao 	只需要	c=4 d=0.066305 t=16526
zhi yao 	只要	c=7 d=0.0547537 t=16526
zhi yao ni 	只要你	c=1 d=5.27472e-05 t=16526
zhi ye 	职业	c=1 d=5.43813e-11 t=16526
zhi yong 	只用	c=1 d=0.00412784 t=16526
zhi you 	只有	c=8 d=0.755784 t=16526
zhi ze 	职责	c=1 d=6.54104e-07 t=16526
zhi zhi dao 	只知道	c=1 d=0.00406639 t=16526
zhi zuo 	只做	c=1 d=8.65611e-09 t=16526
zhong 	中	c=21 d=1.8626 t=16526
zhong 	种	c=1 d=1.20072e-05 t=16526
zhong 	终	c=2 d=0.0248917 t=16526
zhong bao 	中报	c=1 d=0.436049 t=16526
zhong bao 	中爆	c=27 d=2.87219 t=16526
zhong di 	种地	c=2 d=0.484339 t=16526
zhong duan 	中断	c=1 d=0.0101022 t=16526
zhong duan 	终端	c=20 d=0.137192 t=16526
zhong guo 	中国	c=3 d=0.0207724 t=16526
zhong guo ren 	中国人	c=1 d=0.0106734 t=16526
zhong jian 	中间	c=1 d=0.000534061 t=16526
zhong jie fei 	中介费	c=4 d=4.3355e-08 t=16526
zhong wen 	中文	c=19 d=1.36089 t=16526
zhong wen ban 	中文版	c=1 d=8.17451e-12 t=16526
zhong wu 	中午	c=2 d=0.744532 t=16526
zhong xin 	中心	c=3 d=0.236218 t=16526
zhong xun 	中旬	c=1 d=3.97693e-06 t=16526
zhong yao 	重要	c=1 d=0.00559994 t=16526
zhong ying wen 	中英文	c=1 d=0.00423234 t=16526
zhou 	州	c=1 d=0.000198445 t=16526
zhou chang 	周长	c=1 d=0.00634556 t=16526
zhou ji 	周几	c=1 d=3.19265e-10 t=16526
zhou jie lun 	周杰伦	c=1 d=6.91322e-11 t=16526
zhou liu 	周六	c=2 d=0.733447 t=16526
zhou liu ri 	周六日	c=1 d=0.211189 t=16526
zhou qi 	周期	c=1 d=7.50584e-08 t=16526
zhou ri 	周日	c=1 d=0.000426457 t=16526
zhou si 	周四	c=1 d=0.895834 t=16526
zhou wu 	周五	c=1 d=0.491644 t=16526
zhou yi 	周一	c=2 d=0.000411789 t=16526
zhu 	住	c=3 d=0.418952 t=16526
zhu 	朱	c=4 d=0.0213646 t=16526
zhu bo 	主播	c=1 d=1.30073e-05 t=16526
zhu cai 	主菜	c=1 d=0.035437 t=16526
zhu ce 	注册	c=9 d=0.26982 t=16526
zhu dong 	主动	c=2 d=0.275271 t=16526
zhu jian 	主键	c=4 d=0.995012 t=16526
zhu jie 	朱姐	c=3 d=0.110251 t=16526
zhu jie 	注解	c=1 d=1.69599e-09 t=16526
zhu shi 	注释	c=14 d=0.691093 t=16526
zhu shou 	助手	c=1 d=0.000206543 t=16526
zhu ti 	主题	c=2 d=0.000112975 t=16526
zhu xiao 	注销	c=0 d=0.0995012 t=16526
zhu xiao le 	注销了	c=1 d=1 t=16526
zhu yao 	主要	c=16 d=0.737239 t=16526
zhu ye 	主页	c=1 d=1.10916e-13 t=16526
zhu yi 	注意	c=5 d=0.574072 t=16526
zhua 	抓	c=2 d=0.315058 t=16526
zhuan 	赚	c=1 d=0.000584356 t=16526
zhuan 	转	c=6 d=1.35199 t=16526
zhuan cheng 	专程	c=1 d=2.47917e-05 t=16526
zhuan fa 	转发	c=1 d=0.798516 t=16526
zhuan gei 	转给	c=2 d=0.00064976 t=16526
zhuan huan 	转换	c=3 d=1.09282 t=16526
zhuan hui 	转回	c=1 d=0.594521 t=16526
zhuan jia 	专家	c=1 d=0.00323088 t=16526
zhuan le 	赚了	c=1 d=4.00721e-07 t=16526
zhuan shou 	转手	c=1 d=0.0257325 t=16526
zhuan xing 	转型	c=1 d=0.618783 t=16526
zhuan ye 	专业	c=2 d=3.25508e-10 t=16526
zhuan yi 	转义	c=1 d=0.0395575 t=16526
zhuan yi 	转移	c=1 d=4.12855e-05 t=16526
zhuan zhang 	转账	c=2 d=0.101356 t=16526
zhuan zheng 	转正	c=1 d=1.50472e-13 t=16526
zhuang 	装	c=16 d=0.913931 t=16526
zhuang ge 	装个	c=1 d=0.00245409 t=16526
zhuang ji 	装机	c=1 d=9.61771e-13 t=16526
zhuang le 	撞了	c=1 d=0.909373 t=16526
zhuang le 	装了	c=2 d=0.0327193 t=16526
zhuang qi lai 	装起来	c=1 d=1.292e-14 t=16526
zhuang tai 	状态	c=18 d=0.536308 t=16526
zhuang zhe 	装着	c=1 d=0.379083 t=16526
zhui 	追	c=1 d=0.0178634 t=16526
zhun bei 	准备	c=3 d=0.431715 t=16526
zhun bie 	准别	c=1 d=0.429557 t=16526
zhun que 	准确	c=1 d=8.29664e-10 t=16526
zhun shi 	准时	c=0 d=0.00539337 t=16526
zhuo mian 	桌面	c=1 d=0.00217658 t=16526
zi 	子	c=3 d=0.145054 t=16526
zi 	字	c=3 d=0.360595 t=16526
zi ce 	自测	c=1 d=0.117068 t=16526
zi dai 	自带	c=3 d=0.0223708 t=16526
zi di 	子弟	c=0 d=0.00605068 t=16526
zi di gong yi 	子弟工艺	c=1 d=0.0608101 t=16526
zi dian 	字典	c=2 d=0.767359 t=16526
zi ding yi 	自定义	c=5 d=0.682939 t=16526
zi dong 	自动	c=15 d=0.67368 t=16526
zi duan 	字段	c=4 d=0.238893 t=16526
zi fu 	字符	c=5 d=0.0197421 t=16526
zi fu chuan 	字符串	c=6 d=0.0690793 t=16526
zi gou 	自购	c=8 d=0.040567 t=16526
zi ji 	自己	c=37 d=4.29771 t=16526
zi jian 	子健	c=1 d=0.0500366 t=16526
zi jian 	自建	c=0 d=0.000406639 t=16526
